user,date,content,replyCount,retweetCount,likeCount
TonyRobbins,[  47   11 2020],"Watch our first Fireside Chat – from our home to yours, during this special season: https://t.co/lL6fJ4ssE5 https://t.co/8kZwxi7Bll",90,39,402
TonyRobbins,[  47   11 2020],"Traumatic Brain Injury impacts 2,000,000 people a year. See how veterans &amp; athletes who've suffered TBI + PTS can recover. Watch the film QUIET EXPLOSIONS: HEALING THE BRAIN by Emmy winner Jerri Sher @DocAmen @JoeRogan @DriebergenBen Stream here: https://t.co/WYIVstJzzm",21,56,270
TonyRobbins,[  46   11 2020],"Our first “Fireside Chat” just went live! Watch our holiday message – from our home to yours, during this special season: https://t.co/jdlCzhcawE https://t.co/F9oTfjifYQ",25,24,217
TonyRobbins,[  45   11 2020],https://t.co/DZzjlEfnX4,43,87,302
TonyRobbins,[  45   11 2020],Selling two businesses in less than 5 months during a pandemic for $150M+ is remarkable! Outstanding article by my partner at Beringer Capital @BrianFMartin on the essentials to keep in mind when positioning to sell in this environment. https://t.co/01f0ikqvOv,10,22,125
TonyRobbins,[  45   11 2020],Congratulations to @BrianFMartin &amp; my partners at Beringer Capital on the sale of @blueacornici — a leader in customer experience helping Fortune 500 companies digitally transform. The speed &amp; execution over the past 3 years has been remarkable! Well done. https://t.co/wHDAcTzyb3,1,13,42
TonyRobbins,[  44   10 2020],https://t.co/64NzzoD8DT,12,32,133
TonyRobbins,[  43   10 2020],👏👊🙌 https://t.co/du9u3VJBzZ,18,17,411
TonyRobbins,[  43   10 2020],"Hello Europe and beyond! We kicked off another #UPW Virtual event today. Looking forward to connecting with many of you Zooming in from 139 countries around the world this weekend. I LOVE IT! Here we go! 🌍👊❤️
#TonyRobbinsUPW https://t.co/IiumaHCjKt",18,39,338
TonyRobbins,[  43   10 2020],How Tony Robbins Is Reinventing Live Events in the Virtual Age https://t.co/5IYxPkOEq3,11,20,91
TonyRobbins,[  43   10 2020],What is FEAR? https://t.co/ZFJ8xScWBD,30,50,169
TonyRobbins,[  43   10 2020],👏👊🔥 https://t.co/4KA6XrW4U9,8,34,180
TonyRobbins,[  42   10 2020],"Now is the time to build your momentum. Get the best #financetips from Peter Mallouk, global finance expert and co-author of our new book The Path. Unlock the secrets to true #financialfreedom! Tune in now: Interview with Tony Robbins and Peter Mallouk https://t.co/C7Z2nrSgdg",9,24,126
TonyRobbins,[  42   10 2020],"Sage &amp; I are blessed to have a photo of the MOMENT we met. It’s been 21 years with this crazy beautiful woman!💘 We continue to laugh till we cry &amp; cry till we laugh on this journey together. Grateful for the grace of God that guided our hearts together.
#HowItStartedHowItsGoing https://t.co/K8YrfAfud6",75,81,1682
TonyRobbins,[  42   10 2020],Check out this #throwback to my interview with the legendary @shaunwhite on the art of the comeback and the Road to Greatness! | Find Out What Makes Greatness Possible. https://t.co/2Y9BpQtIxG,11,17,66
TonyRobbins,[  42   10 2020],"Discover the power to break through any limitation, overcome any challenge, and create the quality of life you desire. Unleash the Power Within Virtual UK is happening NEXT WEEK -- October 22-25, 2020 -- you can still join us &gt;&gt;&gt; https://t.co/5pcna09ib4 @SuccessResUK https://t.co/2EBi2kBnnI",13,31,107
TonyRobbins,[  42   10 2020],This Daily Habit Will Prime Your Brain To Be Its Best | Tony Robbins https://t.co/rBc19pjSID via @YouTube,126,79,350
TonyRobbins,[  42   10 2020],"Excited to announce that THE PATH comes out TODAY, October 13th -- my new book with financial expert, Peter Mallouk.📚💥 Thank you to everyone who pre-ordered! You can pick up your copy here: https://t.co/CByURrnnr0 https://t.co/Voyqg4NV0A",17,34,179
TonyRobbins,[  42   10 2020],So proud of our @NamaleResort Power Girls team for stepping up and helping others in their community! https://t.co/eyBHQ06CoT,4,12,83
TonyRobbins,[  41   10 2020],The W.H.O. Now acknowledge lockdowns are not the answer for COVID-19 watch… https://t.co/HVFlvlA7tg,223,1261,3501
TonyRobbins,[  41   10 2020],Excited to announce our NEW BOOK — THE PATH — co-written with financial expert Peter Mallouk! PRE-ORDER your copy here and you'll get three exclusive bonuses valued at over $300: https://t.co/VNTKEw4unJ. https://t.co/eow0ecURe7,26,38,168
TonyRobbins,[  41   10 2020],https://t.co/6fBOZMJhoS,17,27,137
TonyRobbins,[  40   10 2020],Excited to announce our NEW BOOK — THE PATH — co-written with financial expert Peter Mallouk! PRE-ORDER your copy here and you'll get three exclusive bonuses valued at over $300: https://t.co/VNTKEw4unJ. https://t.co/96qzgLMV9l,19,28,166
TonyRobbins,[  40    9 2020],"Check out the recap from Unleash the Power Within VIRTUAL Australia! THANK YOU, Australia, &amp; all 67 countries in the South Pacific and beyond who joined us for this one. It was such a gift to be with 11,000+ of you streaming LIVE straight into your homes! https://t.co/DJ3BIq8WCO",13,21,111
TonyRobbins,[  39    9 2020],"I’m teaming up with @shoplovegrenades &amp; @OURrescue — $50 from each #FreedomDogTag benefits Operation Underground Railroad and their incredible work. For every 30 tags sold, we can rescue one child from sex trafficking and provide the aftercare they need. https://t.co/kazFspFlJo https://t.co/rtFH17SAkV",42,128,608
TonyRobbins,[  39    9 2020],Sage &amp; I were so touched by this awesome example of taking ACTION &amp; being a FORCE FOR GOOD all while having family fun that we doubled their funds raised. Join us in supporting @FeedingAmerica during #HungerActionMonth. Donate here: https://t.co/yI5dqJylpX https://t.co/PwifaJZnH5,7,23,107
TonyRobbins,[  38    9 2020],"The 5 books that helped this millennial pay off $29,000 in debt and save $100,000 (check out #5!).  https://t.co/4CPtJz4SkK",25,107,448
TonyRobbins,[  38    9 2020],5 Powerful Takeaways From ‘I Am Not Your Guru’ by @AlexBBoswell in @TheAscentPub https://t.co/8p3eNw6nGy,7,50,122
TonyRobbins,[  37    9 2020],"Today, we remember and honor the memory of those whose lives and legacies we shall #neverforget. 🇺🇸❤️🗽",7,10,145
TonyRobbins,[  37    9 2020],"We remember that no matter the pain, tragedy, or injustice of a circumstance, the resilience, strength, and light of the human heart and spirit cannot be extinguished.",5,35,203
TonyRobbins,[  37    9 2020],"We remember and continue to be inspired by incredible acts of compassion between total strangers, and the countless volunteers who stepped up from every part of our great country to come to the aid of those in need.",1,3,14
TonyRobbins,[  37    9 2020],"We remember those we lost, and pray a special blessing today for all those who lost their mothers, fathers, brothers, sisters, aunts, uncles, children and loved ones.",2,3,12
TonyRobbins,[  37    9 2020],"We remember heartbreaking stories of goodbye calls made to loved ones that remind us that, ❤️ IN THE END LOVE is TRULY ALL THAT MATTERS.",1,5,18
TonyRobbins,[  37    9 2020],"Nineteen years later on #911 we remember &amp; honor our heroes — pilots, passengers, community members, firefighters, police officers, first responders, our military, rescue animals, &amp; other guardian angels who, with unwavering courage, put their lives on the line to save others. https://t.co/zA5xQX2M7k",12,83,466
TonyRobbins,[  37    9 2020],"Up to 90% who test positive for Covid barely carry any virus &amp; aren't contagious, making it hard to grasp true scale of virus — https://t.co/bt3dixYOgQ",95,152,623
TonyRobbins,[  37    9 2020],The 1% blunder: How a simple but fatal math mistake by US Covid-19 experts caused the world to panic and order lockdowns — https://t.co/y23C3ix8Hz,86,156,478
TonyRobbins,[  37    9 2020],Sweden Close To Victory Over Coronavirus; Never Had A Lockdown Or Mask Mandate | Zero Hedge https://t.co/xjdI6MWtQS,253,1598,5161
TonyRobbins,[  37    9 2020],AstraZeneca Covid-19 vaccine study is put on hold https://t.co/o1DkfolEF6,11,36,146
TonyRobbins,[  36    9 2020],https://t.co/XqGiKImT7w,54,156,766
TonyRobbins,[  36    9 2020],Fascinating statistics &amp; insights about the lockdowns &amp; their actual impact. Counterintuitive https://t.co/eeXsAcfrd3,36,66,287
TonyRobbins,[  36    9 2020],A glimpse inside the room of our FIRST-EVER VIRTUAL BUSINESS MASTERY https://t.co/MfP90nWkB3,8,15,95
TonyRobbins,[  35    8 2020],"Weird science: Covid-19 does NOT cause heart damage, as blockbuster study had basic calculation errors — RT Op-ed https://t.co/6Nnc8MikQz",71,140,585
TonyRobbins,[  35    8 2020],If you’re concerned for your kids going back to school —especially young ones—this is worth a quick read.👍🏼🤗❤️👊🏼 https://t.co/3nMC4J3T1y,14,42,159
